x_coordinate ,x_index,y_coordinate ,y_index
2574750.0,7135,-2885000.0,7869
2631750.0,7192,-2870000.0,7854
2687750.0,7248,-2854000.0,7838
2743750.0,7304,-2838000.0,7822
2799750.0,7360,-2821000.0,7805
2855750.0,7416,-2804000.0,7788
2911750.0,7472,-2787000.0,7771
2967750.0,7528,-2769000.0,7753
3023750.0,7584,-2751000.0,7735
3079750.0,7640,-2733000.0,7717
3134750.0,7695,-2714000.0,7698
3190750.0,7751,-2695000.0,7679
3245750.0,7806,-2676000.0,7660
-4557250.0,3,-2035000.0,7019
-4505250.0,55,-2063000.0,7047
-4453250.0,107,-2089000.0,7073
-4402250.0,158,-2116000.0,7100
-4350250.0,210,-2142000.0,7126
-4298250.0,262,-2168000.0,7152
-4245250.0,315,-2194000.0,7178
-4193250.0,367,-2219000.0,7203
-4140250.0,420,-2244000.0,7228
-4088250.0,472,-2269000.0,7253
-4035250.0,525,-2293000.0,7277
-3982250.0,578,-2317000.0,7301
-3929250.0,631,-2341000.0,7325
-3875250.0,685,-2364000.0,7348
-3822250.0,738,-2387000.0,7371
-3768250.0,792,-2410000.0,7394
-3715250.0,845,-2432000.0,7416
-3661250.0,899,-2455000.0,7439
-3607250.0,953,-2476000.0,7460
-3553250.0,1007,-2498000.0,7482
-3499250.0,1061,-2519000.0,7503
-3444250.0,1116,-2540000.0,7524
-3390250.0,1170,-2560000.0,7544
-3335250.0,1225,-2580000.0,7564
-3280250.0,1280,-2600000.0,7584
-3226250.0,1334,-2620000.0,7604
-3171250.0,1389,-2639000.0,7623
-3116250.0,1444,-2658000.0,7642
-3060250.0,1500,-2676000.0,7660
-3005250.0,1555,-2694000.0,7678
-2950250.0,1610,-2712000.0,7696
-2894250.0,1666,-2730000.0,7714
-2839250.0,1721,-2747000.0,7731
-2783250.0,1777,-2764000.0,7748
-2727250.0,1833,-2780000.0,7764
-2671250.0,1889,-2797000.0,7781
-2615250.0,1945,-2812000.0,7796
-2559250.0,2001,-2828000.0,7812
-2503250.0,2057,-2843000.0,7827
-2447250.0,2113,-2858000.0,7842
-2390250.0,2170,-2872000.0,7856
-2334250.0,2226,-2887000.0,7871
-2277250.0,2283,-2900000.0,7884
-2221250.0,2339,-2914000.0,7898
-2164250.0,2396,-2927000.0,7911
-2107250.0,2453,-2940000.0,7924
-2050250.0,2510,-2952000.0,7936
-1993250.0,2567,-2964000.0,7948
-1936250.0,2624,-2976000.0,7960
-1879250.0,2681,-2988000.0,7972
-1822250.0,2738,-2999000.0,7983
-1765250.0,2795,-3009000.0,7993
-1708250.0,2852,-3020000.0,8004
-1650250.0,2910,-3030000.0,8014
-1593250.0,2967,-3040000.0,8024
-1536250.0,3024,-3049000.0,8033
-1478250.0,3082,-3058000.0,8042
-1421250.0,3139,-3067000.0,8051
-1363250.0,3197,-3075000.0,8059
-1305250.0,3255,-3083000.0,8067
1305750.0,5866,-3083000.0,8067
1362750.0,5923,-3075000.0,8059
1420750.0,5981,-3067000.0,8051
1478750.0,6039,-3058000.0,8042
1535750.0,6096,-3049000.0,8033
1593750.0,6154,-3040000.0,8024
1650750.0,6211,-3030000.0,8014
1707750.0,6268,-3020000.0,8004
1764750.0,6325,-3009000.0,7993
1822750.0,6383,-2999000.0,7983
1879750.0,6440,-2988000.0,7972
1936750.0,6497,-2976000.0,7960
1993750.0,6554,-2964000.0,7948
2050750.0,6611,-2952000.0,7936
